EV Maker,Place,State,Latitude,Longitude
Tata Motors,Pune,Maharashtra,18.5213738,73.8545071
Mahindra Electric,Bengaluru,Karnataka,12.9767936,77.590082
Ather Energy,Bengaluru,Karnataka,12.9767936,77.590082
Hero Electric,New Delhi,Delhi,28.6138954,77.2090057
Ola Electric,Krishnagiri,Tamil Nadu,12.5188835,78.2206536
Ashok Leyland,Chennai,Tamil Nadu,13.0836939,80.270186
TVS Motor Company,Hosur,Tamil Nadu,12.7328844,77.8309478
Bajaj Auto,Pune,Maharashtra,18.5213738,73.8545071
MG Motor India,Halol,Gujarat,22.5058547,73.4715851
Hyundai Motor India,Chennai,Tamil Nadu,13.0836939,80.270186
Revolt Motors,Gurgaon,Haryana,28.4646148,77.0299194
Ampere Vehicles,Coimbatore,Tamil Nadu,11.0018115,76.9628425
Okinawa Autotech,Bhiwadi,Rajasthan,28.2039413,76.837441
Kinetic Green Energy,Pune,Maharashtra,18.5213738,73.8545071
BYD India,Sriperumbudur,Tamil Nadu,12.9666144,79.9458077
JBM Auto,Faridabad,Haryana,28.4031478,77.3105561
Piaggio Vehicles,Baramati,Maharashtra,18.21985375,74.45340540036307
Hero MotoCorp,Dharuhera,Haryana,28.2055216,76.7953099
Etrio Automobiles,Hyderabad,Telangana,17.360589,78.4740613
Triton Electric,Bhuj,Gujarat,23.2472446,69.668339
Simple Energy,Bengaluru,Karnataka,12.9767936,77.590082
Minda Industries,Pune,Maharashtra,18.5213738,73.8545071
Exide Industries,Kolkata,West Bengal,22.5726459,88.3638953
Greaves Cotton,Mumbai,Maharashtra,18.9733536,72.82810491917377
Maruti Suzuki India,Manesar,Haryana,28.3617283,76.9402153
Renault India,Chennai,Tamil Nadu,13.0836939,80.270186
Citroën India,Thiruvallur,Tamil Nadu,13.25376185,80.0562572426388
Audi India,Aurangabad,Maharashtra,19.8758, 75.3393
Mercedes-Benz India,Chakan,Maharashtra,18.76059, 73.86351
Kia Motors India,Anantapur,Andhra Pradesh,14.72421995,77.43067380798242
Volvo Eicher,Pithampur,Madhya Pradesh,22.6105576,75.6790283
JSW Energy,Mumbai,Maharashtra,18.9733536,72.82810491917377
Olectra Greentech,Hyderabad,Telangana,17.360589,78.4740613
Force Motors,Pune,Maharashtra,18.5213738,73.8545071
TVS Electronics,Chennai,Tamil Nadu,13.0836939,80.270186
Royal Enfield,Chennai,Tamil Nadu,13.0836939,80.270186
Bharat Forge,Pune,Maharashtra,18.5213738,73.8545071
Hindustan Motors,Uttarpara,West Bengal,22.6670459,88.3411458
Atul Auto,Rajkot,Gujarat,22.3053263,70.8028377
SML Isuzu,Ropar,Punjab,30.9688367,76.526088
Mahindra Reva,Bengaluru,Karnataka,12.9767936,77.590082
Ajanta Manufacturing,Morbi,Gujarat,22.8176662,70.8345928
Tata Power,Mumbai,Maharashtra,18.9733536,72.82810491917377
Ashok Leyland (EV Bus),Alwar,Rajasthan,27.414004849999998,76.61703869600933
HOP Electric Mobility,Jaipur,Rajasthan,26.9154576,75.8189817
Omega Seiki Mobility,Faridabad,Haryana,28.4031478,77.3105561
Bajaj Auto (EV),Akurdi,Maharashtra,18.64864175,73.76470807178595
Tata AutoComp Systems,Pune,Maharashtra,18.5213738,73.8545071
Bosch India,Bengaluru,Karnataka,12.9767936,77.590082
Lohia Auto Industries,Kashipur,Uttarakhand,29.2117573,78.9617306
Saera Electric Auto,Bhiwadi,Rajasthan,28.2039413,76.837441
Jezza Motors,Kolkata,West Bengal,22.5726459,88.3638953
Altigreen Propulsion Labs,Bengaluru,Karnataka,12.9767936,77.590082
Terra Motors India,Gurugram,Haryana,28.4646148,77.0299194
Gayam Motor Works,Hyderabad,Telangana,17.360589,78.4740613
Kinetic Green (3-Wheeler),Ahmednagar,Maharashtra,19.162772500000003,74.85802430085195
Greaves Electric Mobility,Coimbatore,Tamil Nadu,11.0018115,76.9628425
YC Electric Vehicle,Delhi,Delhi,28.6273928,77.1716954
Dilli Electric Auto Pvt Ltd,New Delhi,Delhi,28.6138954,77.2090057
Electrotherm India,Ahmedabad,Gujarat,23.0215374,72.5800568
Lohia Auto Industries,Kashipur,Uttarakhand,29.2117573,78.9617306
Euler Motors,New Delhi,Delhi,28.6138954,77.2090057
